Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
pointless,3.86,1.61,14,NA,NA,NA,3.22,1.44,18,3,1.41,9,4.26,2.7,23,4.42,2.78,12,183
poke,4.61,1.66,36,5.02,2.08,47,4.14,1.28,22,3.75,1.39,8,5.41,2.7,22,5.33,3.43,9,298
polar,4.69,2.02,16,5.04,1.7,25,5.19,1.57,21,6,1.5,9,3.95,1.83,21,4.2,2.28,5,135
policeman,4.57,1.91,14,NA,NA,NA,4.21,1.32,19,3.62,1.41,8,4.06,2.48,18,4.71,2.69,7,598
policy,3.92,1.53,80,3.92,1.76,75,3.77,1.34,22,3.5,1.62,12,3.3,2.03,20,3.44,2.4,9,1378
polish,NA,NA,NA,5.24,2.19,21,6,1.89,19,6.4,1.65,10,3.36,2.38,22,4.11,2.52,9,493
political,NA,NA,NA,4.5,1.93,20,4.35,1.46,20,4.8,1.48,10,4,2.97,18,5,3,7,1115
polka,5.44,1.79,64,5.07,1.94,57,4.79,2.3,19,4.8,2.35,10,4.17,2.41,18,4.57,2.15,7,124
poll,4.87,1.55,15,4.47,1.77,17,4.63,1.61,19,4.8,0.79,10,4.14,2.13,21,3.86,2.12,7,127
poodle,6.03,1.8,31,4.42,1.84,43,6.1,2.2,20,6.07,2.06,14,3.6,1.85,20,3.75,1.98,8,145
pool,6.31,1.85,16,4.42,2.42,26,6.78,1.7,18,6,1.55,11,3.65,2.66,20,3.33,2.74,9,2396
popcorn,NA,NA,NA,5.86,2.19,22,7.26,1.33,19,7.33,1.66,9,5.23,2.86,22,5.8,2.82,10,465
popular,6.73,1.71,15,6.24,1.95,17,5.71,1.79,21,5.67,2.19,12,4.74,2.38,23,4.88,2.09,16,1177
population,NA,NA,NA,5.45,1.87,22,4.81,1.4,21,4.33,1.23,12,3.96,2.27,23,4.25,2.46,16,464
pork,4.41,2.1,27,4.76,2.4,33,5,2.54,19,4.33,2.88,6,3.8,2.88,20,3.57,3.26,7,537
portfolio,5,1.17,26,4.85,1.54,33,5.95,1.93,19,6.45,1.69,11,3.36,2.65,22,2.36,2.25,11,104
portrait,5.44,1.86,16,4.37,1.28,27,6.05,1.86,21,5.57,2.07,7,3.2,2.21,20,2.86,2.27,7,277
pose,5.98,1.68,58,5.79,1.82,56,5.63,1.98,19,5.83,2.32,6,3.11,2.18,19,3.71,2.63,7,347
position,NA,NA,NA,5.09,1.93,22,5.56,1.65,18,5.18,1.72,11,3.35,2.83,20,3.89,3.66,9,3676
positive,7.5,1.58,60,6.26,2.24,58,7.57,1.75,21,7.5,1.98,12,5.5,3.12,20,5.33,3.61,9,1613
posse,NA,NA,NA,4.77,1.92,13,4.52,1.63,21,4.56,1.13,9,4.41,2.04,22,5,1.87,5,221
possess,4.14,2.18,14,NA,NA,NA,4.67,1.62,21,4.44,1.81,9,3.95,2.21,22,5,2.65,5,280
post,NA,NA,NA,4.18,2.2,22,5.05,1.65,22,5,1.65,12,3.58,2.09,19,4,1.94,9,1654
postcard,6.47,1.64,15,4.71,2.42,17,5.68,1.59,22,4.88,1.73,8,4.23,2.57,26,4.31,2.56,13,211
potato,6.41,1.62,27,4.52,2.02,33,6.4,2.21,20,7.12,1.64,8,2.38,1.69,21,2.3,1.25,10,576
potatoes,7,1.57,14,NA,NA,NA,6.11,1.29,19,6.22,1.2,9,2.95,1.96,21,3.33,2.35,9,566
potion,4.93,1.39,15,5.59,2.15,17,5.65,1.57,20,6,1.41,9,5.12,2.89,24,5,2.83,12,380
pour,5.06,1.53,16,4.42,1.68,26,5.16,1.07,19,5.5,0.93,8,3.28,1.9,18,4.14,1.86,7,771
poverty,2.52,1.91,27,4.42,2.18,33,2,1.11,19,2.33,1.51,6,5.3,2.53,44,5.92,2.06,25,221
power,6,1.77,26,5.39,2.16,33,5.97,1.81,39,6.48,1.68,23,5.41,2.63,44,5.27,2.64,22,7600
powerless,2.19,1.11,16,4.19,2.04,26,2.9,1.92,20,2.45,1.37,11,3.95,2.89,22,2.89,1.69,9,192
prairie,5.94,1.9,49,4.6,2.53,47,5.33,2.03,21,5.57,2.23,7,2.41,1.89,39,2.6,2.14,20,143
prank,5.22,1.98,55,6.08,2.07,53,4.79,2.1,19,5.09,2.21,11,5.36,2.75,22,5.36,2.5,11,204
pray,5.92,2.4,37,4.04,2.57,49,6.57,2.77,21,5.67,3.11,12,3.25,2.27,20,3.78,2.64,9,1847
prayer,6.18,2.24,60,3.95,2.77,58,5.67,2.65,21,5.12,2.6,16,4.04,2.62,25,4.29,2.73,14,805
preach,NA,NA,NA,5.22,2.29,18,4.15,1.76,20,3.93,1.64,14,3.71,1.82,21,3.55,1.57,11,122
precaution,4.4,1.5,15,4.58,1.44,24,4.57,1.5,21,4.25,0.96,4,4,2.05,21,4,2.16,10,174
precious,7.07,1.78,58,6.05,2.41,56,6.84,2.52,19,6.64,3.07,11,3.64,2.52,22,3.27,2.15,11,1191
predicament,3.7,1.45,20,4.81,1.86,26,4.11,2.05,18,4.11,2.76,9,5.3,2.46,23,5.7,2.75,10,100
pregnant,6.6,2.26,15,5.82,2.74,17,7.17,2.33,18,6.45,2.7,11,5.7,2.85,20,6,3.04,9,2653
premier,5.78,1.91,79,5.55,2.15,73,5.37,1.71,19,4.29,1.11,7,4.62,2.5,21,5.43,2.88,7,127
premises,5.07,1.83,15,5.19,1.42,16,5.05,1.07,21,5.14,0.38,7,4,2.41,22,4.33,2.87,9,259
premonition,4.92,2.03,38,5.08,2.09,36,5.11,2.05,19,4.5,1.77,8,4.64,2.15,22,3.89,2.15,9,189
prepare,6.53,1.61,36,4.54,1.89,48,5.32,1.91,22,4.92,2.11,12,4.15,2.46,20,4.56,2.51,9,1711
presence,5.67,2.19,15,5.41,2.35,17,5.75,1.25,20,5.6,0.84,10,3.6,2.23,20,3.62,2.39,8,1064
presentation,4.26,1.81,27,4.97,2.32,33,4.9,1.64,21,4.75,1.86,12,4.65,2.21,23,4.44,2.28,16,368
presidency,NA,NA,NA,5.58,1.39,19,5.65,2.01,20,6.11,2.26,9,4.58,2.96,24,4.33,2.93,12,125
presidential,4.86,1.61,14,NA,NA,NA,4.95,1.35,19,5.5,1.31,8,4.06,2.24,18,4,2.16,7,285
